FID,STREET_NAM,ROADINVENT,FUNCTIONAL,JURISDICTI,Divided,InstallDat,ExisFacil,Shape_Leng,Shape__Length
1,Veterans Of Foreign Wars Parkway,6212500,2,3,1,2013,BL,175.249590384,175.249590381245
2,Veterans Of Foreign Wars Parkway,4847800,2,3,1,2013,BL,82.5011606868,82.5011606885381
3,Veterans Of Foreign Wars Parkway,4838800,2,3,1,2013,BL,81.2270240073,81.2270240052211
4,Lake Street,4547801,6,2,0,2010,SLM,137.040789804,137.040789802081
5,Commonwealth Avenue,5141000,3,2,1,2013,SLM,213.655204603,213.655204617444
6,Commonwealth Avenue,5673800,3,2,1,2013,SLM,214.586170025,214.586170017632
7,Lake Street,4540000,6,2,0,2010,SLM,98.3328303472,98.3328303537372
8,Lake Street,4535900,6,2,0,2010,SLM,198.175388909,198.175388904619
9,Faneuil Street,5454700,3,2,0,2010,BL,37.6627034623,37.6627034697733
10,Washington Street,4505600,3,2,0,2010,BL,55.2795339916,55.2795339842138
11,Faneuil Street,4485300,6,2,0,2017,SLM,59.8905090006,59.8905090143049
12,Veterans Of Foreign Wars Parkway,5107800,2,3,1,2013,BL,83.1971250955,83.1971250957156
13,Beacon Street,4600100,3,2,0,2009,BFBL,57.3115144285,57.3115144205465
14,Commonwealth Avenue,6227100,3,2,1,2013,BL,167.106824497,167.106824489822
15,Washington Street,4506300,3,2,0,2010,BL,42.0331826708,42.0331826712391
16,Faneuil Street,4481600,6,2,0,2017,BL,48.9446080694,48.9446080682753
17,Faneuil Street,5648900,6,2,0,2017,BL,56.8480237649,56.8480237648659
18,Baker Street,5437300,6,2,0,2014,BL,95.1479327799,95.1479327734416
19,Veterans Of Foreign Wars Parkway,4984800,2,3,1,2013,BL,86.7393801741,86.7393801704648
20,Veterans Of Foreign Wars Parkway,4933300,2,3,1,2013,BL,496.232801666,496.232795614394
21,Veterans Of Foreign Wars Parkway,6222500,2,3,1,2013,BL,297.55920715,297.559207148536
22,Baker Street,5688000,6,2,0,2014,BL,38.3888523019,38.3888523082917
23,Commonwealth Avenue,5717400,3,2,1,2013,SLM,32.2532358595,32.2532358678355
24,Chestnut Hill Avenue,5701700,5,2,0,2010,SLM,117.515923596,117.515923591076
25,Chestnut Hill Avenue,4534000,5,2,0,2013,BL,67.6963820265,67.6963820283971
26,Western Avenue,5126300,5,2,0,2015,BLSL,59.3168935651,59.3168935728211
27,Washington Street,5304500,3,2,0,2010,SLM,34.4526824529,34.4526824528589
28,Market Street,5789600,5,2,0,2013,BL,18.144745268,18.1447452715927
29,Washington Street,4504200,3,2,0,2010,SLM,69.1059547987,69.1059547986544
30,Washington Street,5304400,3,2,0,2010,BL,43.3010143833,43.3010143902214
31,Washington Street,5824200,3,2,0,2010,SLM,40.9149831263,40.9149831189431
32,Market Street,5273900,5,2,0,2013,BL,23.2719237437,23.2719237468677
33,Belgrade Avenue,4899500,3,2,0,2009,BL,69.0599849193,69.0599849119534
34,Veterans Of Foreign Wars Parkway,6287101,2,3,1,2013,BL,74.9872316398,74.9872316405146
35,Veterans Of Foreign Wars Parkway,5212800,2,3,1,2013,BL,1089.71352287,1089.71352286603
36,Western Avenue,4438100,5,2,0,2015,BLSL,53.2217222256,53.2217222319192
37,Perkins Street,6276500,5,3,1,2008,BL,78.2086553922,78.2086553856995
38,Centre Street,4828700,5,2,0,2019,BFBL,75.805023867,75.8050238620238
39,Everett Street,5719400,6,2,0,2017,BLSL,12.9011826774,12.9011826737909
40,Western Avenue,5126200,5,2,0,2015,BLSL,85.4538888929,85.453888885542
41,Centre Street,5148000,5,2,0,2010,SLM,44.1838248871,44.1838248867298
42,Cambridge Street,4468100,3,2,0,2015,BL,65.060576072,65.0605760657518
43,Brighton Avenue,6244500,3,2,1,2013,SLM,302.907847083,302.907847082842
44,Brighton Avenue,5261700,3,2,1,2019,SLM,91.1592261831,91.1592261836675
45,Franklin Street,4447700,0,2,0,2010,SLM,38.0355157441,38.0355157446215
46,Franklin Street,4442100,0,2,0,2010,SLM,102.682346214,102.682346211797
47,Western Avenue,5126600,5,2,0,2015,BLSL,64.8769759633,64.8769759625736
48,River Street,5076100,5,2,0,2012,BLSL,39.033078846,39.033078845961
49,Cummins Highway,5154600,3,2,0,2012,BL,145.183236214,145.183236212092
50,Washington Street,5705200,3,2,0,2009,BL-PEAKBUS,78.9603252755,78.9603252848702
51,Centre Street,5731300,2,3,1,2011,BL,146.101779011,146.101779010362
52,Centre Street,6235300,2,3,1,2011,BL,255.904055811,255.904055821871
53,South Huntington Avenue,4631500,5,2,0,2010,BL,71.844643897,71.8446438969581
54,Huntington Avenue,5627300,3,2,1,2013,SLM,62.7580011919,62.7579748275403
55,South Huntington Avenue,5128000,5,2,0,2010,SLM,137.417146501,137.417146502775
56,Commonwealth Avenue,5118700,3,2,1,2019,SBL,73.9483292319,73.9483292318536
57,Commonwealth Avenue,5118600,3,2,1,2019,SBL,94.0301606186,94.0301606185523
58,River Street,5737500,5,2,0,2012,SLM,17.2043778601,17.2043778697909
59,Washington Street,4870700,3,2,0,2009,BL-PEAKBUS,46.7931719139,46.7931719093664
60,Centre Street,6238600,2,3,1,2011,BL,34.6772467798,34.6772467731687
61,Centre Street,4790100,2,3,1,2011,BL,36.1039898909,36.1039898821997
62,Walter Street,6240300,6,2,0,2016,BL,16.4181149475,16.4181149475288
63,Walter Street,4806700,6,2,0,2016,BLSL,206.316261405,206.316261403048
64,Walter Street,5222300,6,2,0,2016,BLSL,125.726714728,125.726714726529
65,Centre Street,6277300,2,3,1,2011,BL,70.757999177,70.757999174168
66,North Harvard Street,5222000,5,2,0,2012,BL,22.5072470793,22.507247081827
