municipal,acs_year,med_c_r
Massachusetts,2017-21,1429.0
Worcester County,2017-21,1142.0
Suffolk County,2017-21,1761.0
Plymouth County,2017-21,1406.0
Norfolk County,2017-21,1781.0
Nantucket County,2017-21,1822.0
Middlesex County,2017-21,1815.0
Hampshire County,2017-21,1152.0
Hampden County,2017-21,975.0
Franklin County,2017-21,1010.0
Essex County,2017-21,1392.0
Dukes County,2017-21,1462.0
Bristol County,2017-21,1006.0
Berkshire County,2017-21,943.0
Barnstable County,2017-21,1408.0
Yarmouth,2017-21,1600.0
Wrentham,2017-21,1243.0
Worthington,2017-21,810.0
Worcester,2017-21,1179.0
Woburn,2017-21,1843.0
Winthrop,2017-21,1656.0
Winchester,2017-21,2063.0
Winchendon,2017-21,752.0
Wilmington,2017-21,2186.0
Williamstown,2017-21,998.0
Williamsburg,2017-21,1275.0
Wilbraham,2017-21,906.0
Whitman,2017-21,1469.0
Whately,2017-21,1677.0
Weymouth,2017-21,1626.0
Westwood,2017-21,1944.0
Westport,2017-21,1158.0
Weston,2017-21,1741.0
Westminster,2017-21,1541.0
Westhampton,2017-21,1596.0
Westford,2017-21,2134.0
Westfield,2017-21,983.0
Westborough,2017-21,1790.0
West Tisbury,2017-21,2052.0
West Stockbridge,2017-21,1700.0
West Springfield,2017-21,949.0
West Newbury,2017-21,2250.0
West Brookfield,2017-21,957.0
West Bridgewater,2017-21,1745.0
West Boylston,2017-21,1147.0
Wendell,2017-21,1264.0
Wellfleet,2017-21,1288.0
Wellesley,2017-21,2329.0
Webster,2017-21,994.0
Wayland,2017-21,1067.0
Watertown,2017-21,2000.0
Warwick,2017-21,1313.0
Warren,2017-21,748.0
Wareham,2017-21,1192.0
Ware,2017-21,915.0
Waltham,2017-21,1950.0
Walpole,2017-21,1571.0
Wales,2017-21,1000.0
Wakefield,2017-21,1643.0
Uxbridge,2017-21,1334.0
Upton,2017-21,916.0
Tyringham,2017-21,1250.0
Tyngsborough,2017-21,1596.0
Townsend,2017-21,1144.0
Topsfield,2017-21,1115.0
Tisbury,2017-21,1431.0
Tewksbury,2017-21,2130.0
Templeton,2017-21,1132.0
Taunton,2017-21,1067.0
Swansea,2017-21,1183.0
Swampscott,2017-21,2056.0
Sutton,2017-21,1178.0
Sunderland,2017-21,1435.0
Sudbury,2017-21,1232.0
Sturbridge,2017-21,1324.0
Stow,2017-21,1435.0
Stoughton,2017-21,1722.0
Stoneham,2017-21,1661.0
Stockbridge,2017-21,857.0
Sterling,2017-21,1325.0
Springfield,2017-21,964.0
Spencer,2017-21,919.0
Southwick,2017-21,1149.0
Southbridge,2017-21,959.0
Southborough,2017-21,1475.0
Southampton,2017-21,800.0
South Hadley,2017-21,1025.0
Somerville,2017-21,2152.0
Somerset,2017-21,1216.0
Shutesbury,2017-21,1486.0
