FID,OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,Shape_STAr,Shape_STLe,ShapeSTAre,ShapeSTLen,PARK_ID,REGION,TC_ID,Shape_Leng,OBJECTID_1,TC_ID_1,VALUE_0,TC_E_A,TC_Pv_A,TC_Land_A,TC_Pi_A,TC_P_A,TC_E_P,TC_Pv_P,TC_P_P,TC_Pi_P,OBJECTID_2,TC_ID_12,Total_A,Can_A,Grass_A,Soil_A,Water_A,Build_A,Road_A,Paved_A,Perv_A,Imperv_A,Can_P,Grass_P,Soil_P,Water_P,Build_P,Road_P,Paved_P,Perv_P,Imperv_P,Shape__Area,Shape__Length
1,7819,Wilson Park,City of Boston, ,1,Allston-Brighton,0.09717567,Off 1686 Commonwealth Ave.,Open Space District,"Malls, Squares & Plazas",NULL, ,N,X, ,PWD,0,0,4233.046875,256.730008207, ,PARK_Maintenance_Region 4,7819,256.730008214,1,7819,0,2179,1970,4233,15,1985,51.4764942121,46.5390975667,46.8934561777,0.354358610914,1,7819,4233,2179,1970,0,0,0,69,15,4149,84,51.4764942121,46.5390975667,0,0,0,1.63004961021,0.354358610914,98.0155917789,1.98440822112,4233.04711914063,256.730008212132
2,7820,Nickerson Field,Private, ,3,Allston-Brighton,6.34559501, ,Institutional District,"Parks, Playgrounds & Athletic Fields",NULL, ,N,N,Boston University Field, ,0,0,276419.033203,2104.70261134, ,INFO_Reallocation From Dept,7820,2104.70261134,2,7820,0,17915,31527,276421,213579,245106,6.48105607027,11.4054286758,88.6712659313,77.2658372555,2,7820,276421,17915,31527,0,0,13400,0,213579,49442,226979,6.48105607027,11.4054286758,0,0,4.84767799842,0,77.2658372555,17.8864847461,82.1135152539,276419.032470703,2104.70261133262
3,7821,Hooker-Sorrento Street Playground,City of Boston,A97,3,Allston-Brighton,1.00537799,120 Hooker Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,43737.3503418,852.844111747,156,PARK_Maintenance_Region 4,7821,852.844111726,3,7821,1,25781,9621,43732,8206,17827,58.9522546419,21.9999085338,40.7642001281,18.7642915943,3,7821,43732,25781,9621,0,0,87,37,8206,35402,8330,58.9522546419,21.9999085338,0,0,0.198938992042,0.0846062379951,18.7642915943,80.9521631757,19.0478368243,43737.3505859375,852.84411172942
4,7822,Smith Playground,City of Boston,A97,3,Allston-Brighton,14.79771231,235 Western Ave.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,654457.503418,3624.89362066,284,PARK_Maintenance_Region 4,7822,3624.89362061,4,7822,2,42095,448946,654462,156718,605664,6.43200063564,68.5977184313,92.5437993344,23.9460809031,4,7822,654462,42095,448946,72345,0,0,6703,84373,563386,91076,6.43200063564,68.5977184313,11.0541177333,0,0,1.02420002995,12.8919631697,86.0838368003,13.9161631997,654457.504150391,3624.89362059253
5,7823,Fern Square,City of Boston,A97,1,Allston-Brighton,0.04054316,Opposite 101 Franklin Str.,Open Space District,"Malls, Squares & Plazas",BPRD, ,X,X,"James F. Collins Square, Franklin Square", ,0,0,1938.69506836,207.320531186,115,PARK_Maintenance_Region 4,7823,207.320531181,5,7823,0,1857,0,1938,81,81,95.8204334365,0,4.17956656347,4.17956656347,5,7823,1938,1857,0,0,0,0,0,81,1857,81,95.8204334365,0,0,0,0,0,4.17956656347,95.8204334365,4.17956656347,1938.69458007813,207.32053116233
6,7824,Ringer Playground,City of Boston,A97,3,Allston-Brighton,10.25585494, ,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,447031.286865,3765.82954556,259,PARK_Maintenance_Region 4,7824,3765.82954557,6,7824,0,290415,112530,447031,44042,156572,64.9652932347,25.172750883,35.0248640475,9.85211316441,6,7824,447031,290415,112530,5077,0,0,44,38965,408022,39009,64.9652932347,25.172750883,1.13571542018,0,0,0.00984271784283,8.71639774423,91.2737595379,8.72624046207,447031.287109375,3765.82954555486
7,7825,Kennedy Rock,Private, ,6,Allston-Brighton,2.21054314, ,Conservation Protection Subdistrict,Urban Wilds & Natural Areas,NULL, ,N,N, , ,0,0,96292.9716797,1270.34974931, ,INFO_Reallocation From Dept,7825,1270.34974931,7,7825,0,77756,2642,96308,12751,15393,80.7368027578,2.74328197035,15.9830959007,13.2398139303,7,7825,96308,77756,2642,0,0,3159,0,12751,80398,15910,80.7368027578,2.74328197035,0,0,3.28010134153,0,13.2398139303,83.4800847282,16.5199152718,96292.9709472656,1270.34974931832
8,7826,McKinney Playground,City of Boston,A97,3,Allston-Brighton,5.89138132,61-74 Faneuil Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,256633.134277,2170.12626815,193,PARK_Maintenance_Region 4,7826,2170.12626807,8,7826,0,72270,138865,256635,45442,184307,28.160617219,54.1099226528,71.8167825901,17.7068599373,8,7826,256635,72270,138865,21957,0,0,58,23485,233092,23543,28.160617219,54.1099226528,8.55573090186,0,0,0.0226001909326,9.1511290354,90.8262707737,9.17372922633,256633.133300781,2170.12626806955
9,7827,Hobart Park,City of Boston,A97,3,Allston-Brighton,0.80884689,Opposite 18 Ranlegh Rd.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,35233.9975586,797.596802175,154,PARK_Maintenance_Region 4,7827,797.596802186,9,7827,0,11252,13244,35237,10414,23658,31.9323438431,37.5854925221,67.1396543406,29.5541618185,9,7827,35237,11252,13244,0,0,76,251,10414,24496,10741,31.9323438431,37.5854925221,0,0,0.215682379317,0.712319436955,29.5541618185,69.5178363652,30.4821636348,35233.9973144531,797.59680218449
10,7828,Market Street Burying Ground,City of Boston,Ch114S7/A97,4,Allston-Brighton,0.39534779,Opposite 381 Market Str.,Open Space District,Cemeteries & Burying Grounds,BPRD, ,X,X, , ,0,0,17221.6560059,536.818225023,188,PARK_Cemetery Maintenance Request,7828,536.818225055,10,7828,0,8290,7974,17223,790,8764,48.1333101086,46.2985542588,50.8854438832,4.58688962434,10,7828,17223,8290,7974,0,0,0,169,790,16264,959,48.1333101086,46.2985542588,0,0,0,0.981246008245,4.58688962434,94.4318643674,5.56813563258,17221.65625,536.818225034067
11,7829,Jackson Square,City of Boston,A97,1,Allston-Brighton,0.12031326,Opposite 63 Chestnut Hill Ave,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Viola Square,BPRD,0,0,5240.93896484,277.790321571,162,PARK_Maintenance_Region 4,7829,277.790321556,11,7829,0,552,4345,5246,349,4694,10.5223027068,82.8250095311,89.4776972932,6.6526877621,11,7829,5246,552,4345,0,0,0,0,349,4897,349,10.5223027068,82.8250095311,0,0,0,0,6.6526877621,93.3473122379,6.6526877621,5240.93920898438,277.790321545884
12,7830,Reilly Playground,Commonwealth of Massachusetts,A97,3,Allston-Brighton,6.96695306, ,Open Space District,"Parks, Playgrounds & Athletic Fields",DCR, ,X,X, , ,0,0,303485.87207,2550.50594927, ,INFO_Reallocation From Dept,7830,2550.50594928,12,7830,1,216523,27662,303497,23975,51637,71.3427150845,9.11442287733,17.0140067282,7.89958385091,12,7830,303497,216523,27662,114,0,34243,1094,23861,244299,59198,71.3427150845,9.11442287733,0.037562150532,0,11.2828133392,0.360464848087,7.86202170038,80.4947001124,19.5052998876,303485.871337891,2550.50594926582
