seq_id,muni_id,municipal,years,pop_est
9314,1,Abington,2021,17094
9315,2,Acton,2021,23846
9316,3,Acushnet,2021,10553
9317,4,Adams,2021,8100
9318,5,Agawam,2021,28494
9319,6,Alford,2021,484
9320,7,Amesbury,2021,17269
9321,8,Amherst,2021,39378
9322,9,Andover,2021,36517
9323,10,Arlington,2021,45617
9324,11,Ashburnham,2021,6341
9325,12,Ashby,2021,3170
9326,13,Ashfield,2021,1691
9327,14,Ashland,2021,18560
9328,15,Athol,2021,11905
9329,16,Attleboro,2021,46580
9330,17,Auburn,2021,16830
9331,18,Avon,2021,4755
9332,19,Ayer,2021,8400
9333,20,Barnstable,2021,49583
9334,21,Barre,2021,5526
9335,22,Becket,2021,1932
9336,23,Bedford,2021,14155
9337,24,Belchertown,2021,15279
9338,25,Bellingham,2021,16905
9339,26,Belmont,2021,26838
9340,27,Berkley,2021,6785
9341,28,Berlin,2021,3674
9342,29,Bernardston,2021,2106
9343,30,Beverly,2021,42446
9344,31,Billerica,2021,41453
9345,32,Blackstone,2021,9177
9346,33,Blandford,2021,1210
9347,34,Bolton,2021,5676
9348,35,Boston,2021,654776
9349,36,Bourne,2021,20709
9350,37,Boxborough,2021,5425
9351,38,Boxford,2021,8141
9352,39,Boylston,2021,4882
9353,40,Braintree,2021,38822
9354,41,Brewster,2021,10456
9355,42,Bridgewater,2021,28805
9356,43,Brimfield,2021,3690
9357,44,Brockton,2021,105446
9358,45,Brookfield,2021,3432
9359,46,Brookline,2021,62726
9360,47,Buckland,2021,1816
9361,48,Burlington,2021,25989
9362,49,Cambridge,2021,117090
9363,50,Canton,2021,24470
9364,51,Carlisle,2021,5181
9365,52,Carver,2021,11668
9366,53,Charlemont,2021,1184
9367,54,Charlton,2021,13317
9368,55,Chatham,2021,6703
9369,56,Chelmsford,2021,35933
9370,57,Chelsea,2021,38889
9371,58,Cheshire,2021,3236
9372,59,Chester,2021,1221
9373,60,Chesterfield,2021,1178
9374,61,Chicopee,2021,55190
9375,62,Chilmark,2021,1248
9376,63,Clarksburg,2021,1649
9377,64,Clinton,2021,15381
9378,65,Cohasset,2021,8373
9379,66,Colrain,2021,1615
9380,67,Concord,2021,18184
9381,68,Conway,2021,1768
9382,69,Cummington,2021,819
9383,70,Dalton,2021,6290
9384,71,Danvers,2021,27898
9385,72,Dartmouth,2021,34005
9386,73,Dedham,2021,25240
9387,74,Deerfield,2021,5115
9388,75,Dennis,2021,14903
9389,76,Dighton,2021,8150
9390,77,Douglas,2021,9049
9391,78,Dover,2021,5892
9392,79,Dracut,2021,32159
9393,80,Dudley,2021,11884
9394,81,Dunstable,2021,3341
9395,82,Duxbury,2021,16116
9396,83,East Bridgewater,2021,14465
9397,84,East Brookfield,2021,2209
9398,85,East Longmeadow,2021,16370
9399,86,Eastham,2021,5832
9400,87,Easthampton,2021,16022
9401,88,Easton,2021,25247
9402,89,Edgartown,2021,5302
9403,90,Egremont,2021,1371
9404,91,Erving,2021,1667
9405,92,Essex,2021,3668
9406,93,Everett,2021,48557
9407,94,Fairhaven,2021,15909
9408,95,Fall River,2021,93884
9409,96,Falmouth,2021,33128
9410,97,Fitchburg,2021,41732
9411,98,Florida,2021,685
9412,99,Foxborough,2021,18519
9413,100,Framingham,2021,71265
9414,101,Franklin,2021,33036
9415,102,Freetown,2021,9202
9416,103,Gardner,2021,21191
9417,104,Aquinnah,2021,450
9418,105,Georgetown,2021,8416
9419,106,Gill,2021,1536
9420,107,Gloucester,2021,29952
9421,108,Goshen,2021,950
9422,109,Gosnold,2021,70
9423,110,Grafton,2021,19756
9424,111,Granby,2021,6061
9425,112,Granville,2021,1533
9426,113,Great Barrington,2021,7164
9427,114,Greenfield,2021,17652
9428,115,Groton,2021,11147
9429,116,Groveland,2021,6737
9430,117,Hadley,2021,5272
9431,118,Halifax,2021,7749
9432,119,Hamilton,2021,7539
9433,120,Hampden,2021,4935
9434,121,Hancock,2021,751
9435,122,Hanover,2021,14871
9436,123,Hanson,2021,10674
9437,124,Hardwick,2021,2660
9438,125,Harvard,2021,6844
9439,126,Harwich,2021,13629
9440,127,Hatfield,2021,3314
9441,128,Haverhill,2021,67361
9442,129,Hawley,2021,350
9443,130,Heath,2021,726
9444,131,Hingham,2021,24311
9445,132,Hinsdale,2021,1908
9446,133,Holbrook,2021,11335
9447,134,Holden,2021,19898
9448,135,Holland,2021,2583
9449,136,Holliston,2021,14840
9450,137,Holyoke,2021,37929
9451,138,Hopedale,2021,5998
9452,139,Hopkinton,2021,18943
9453,140,Hubbardston,2021,4312
9454,141,Hudson,2021,19790
9455,142,Hull,2021,10144
9456,143,Huntington,2021,2074
9457,144,Ipswich,2021,13716
9458,145,Kingston,2021,13793
9459,146,Lakeville,2021,11762
9460,147,Lancaster,2021,8455
9461,148,Lanesborough,2021,3027
9462,149,Lawrence,2021,88508
9463,150,Lee,2021,5755
9464,151,Leicester,2021,11048
9465,152,Lenox,2021,5099
9466,153,Leominster,2021,43613
9467,154,Leverett,2021,1862
9468,155,Lexington,2021,34071
9469,156,Leyden,2021,738
9470,157,Lincoln,2021,6890
9471,158,Littleton,2021,10121
9472,159,Longmeadow,2021,15725
9473,160,Lowell,2021,113994
9474,161,Ludlow,2021,20900
9475,162,Lunenburg,2021,11816
9476,163,Lynn,2021,100843
9477,164,Lynnfield,2021,12955
9478,165,Malden,2021,65074
9479,166,Manchester-by-the-Sea,2021,5363
9480,167,Mansfield,2021,23823
9481,168,Marblehead,2021,20296
9482,169,Marion,2021,5333
9483,170,Marlborough,2021,41110
9484,171,Marshfield,2021,25869
9485,172,Mashpee,2021,15357
9486,173,Mattapoisett,2021,6574
